siec	geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
R5210B	DE	780.991	758.169	774.017	740.420	744.857	733.446	746.759	718.866	690.340	734.714	748.027	786.696
R5210B	DK	50.380	45.916	44.640	44.003	43.902	43.596	42.931	43.696	79.754	81.843	79.920	83.992
R5210B	EE	3.841	3.201	5.121	2.560	1.920	0.960	4.901	7.377	6.188	4.221	2.030	2.271
R5210B	EL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.155	62.669	67.853	0.000	0.000
R5210B	ES	199.914	168.315	187.661	190.003	134.229	138.005	153.637	129.731	85.882	112.052	101.343	153.625
R5210B	EU27_2020	2440.805	2267.831	2263.277	2307.920	2279.114	2414.806	2593.866	2701.263	2662.724	3029.037	3237.057	3547.283
R5210B	FI	91.402	66.265	69.955	65.579	67.626	80.724	84.389	89.157	93.473	113.489	118.639	136.635
R5210B	FR	402.619	393.546	414.118	433.844	473.982	539.404	585.982	653.439	565.205	716.383	849.549	844.678
R5210B	HR	1.274	1.274	0.000	0.000	0.000	0.263	0.403	0.957	0.758	0.803	0.171	0.000
R5210B	HU	50.826	31.131	60.356	42.567	43.838	45.108	50.826	45.744	83.864	87.040	90.217	87.040
R5210B	IE	28.644	27.709	24.801	24.140	26.766	29.610	27.277	26.194	19.439	20.328	23.285	32.781
R5210B	IT	105.082	74.318	10.001	24.802	32.543	33.061	32.611	30.436	19.636	27.090	34.991	85.104
R5210B	LT	8.383	6.449	5.804	9.673	6.449	8.255	7.997	9.738	15.735	16.509	19.669	20.443
R5210B	LU	1.277	0.642	3.093	7.150	8.838	6.712	9.991	17.053	13.810	17.873	19.885	23.305
R5210B	LV	6.401	6.401	6.401	7.681	8.321	7.912	8.460	7.307	12.750	11.724	10.110	8.700
R5210B	MT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
R5210B	NL	124.463	125.107	128.332	142.125	120.588	128.942	170.670	198.741	226.450	233.249	251.087	257.489
R5210B	PL	138.385	144.124	132.846	153.482	167.670	176.160	172.839	187.318	183.016	208.008	231.938	243.638
R5210B	PT	1.290	1.935	1.935	21.281	25.150	2.947	5.600	8.185	6.417	17.111	25.720	25.392
R5210B	RO	59.329	55.689	41.607	61.450	81.294	91.073	90.437	97.813	91.629	120.941	143.901	154.812
R5210B	SE	175.395	150.800	138.435	112.265	90.211	87.061	112.957	90.016	94.203	114.777	148.901	186.233
R5210B	SI	6.001	7.595	7.589	6.518	4.346	4.227	7.796	4.238	8.042	8.582	6.451	8.626
R5210B	SK	17.806	17.806	24.580	22.929	15.549	19.561	17.555	19.841	25.946	26.082	28.088	38.693
R5210P	AT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
R5210P	BE	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
R5210P	BG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
R5210P	CY	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
